"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Diet\EditCarbPage.xaml.g.cs", "C#", 0, 13, 0, 0, 9, 7, 29
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\General\AboutPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\General\InfoPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\General\SettingsPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\StatisticsTabPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\bgl\AddBglDataPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\bgl\BglEntriesPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\bgl\BglEntryPage.xaml.g.cs", "C#", 0, 19, 0, 0, 9, 9, 37
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\bgl\BglStatisticsPage.xaml.g.cs", "C#", 0, 37, 0, 0, 9, 15, 61
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\bgl\EditBglPage.xaml.g.cs", "C#", 0, 13, 0, 0, 9, 7, 29
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\sleep\AddSlpDataPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\sleep\EditSlpPage.xaml.g.cs", "C#", 0, 13, 0, 0, 9, 7, 29
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\sleep\SlpEntriesPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\sleep\SlpEntryPage.xaml.g.cs", "C#", 0, 22, 0, 0, 9, 10, 41
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\Statistics\sleep\SlpStatisticsPage.xaml.g.cs", "C#", 0, 34, 0, 0, 9, 14, 57
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\User\LoginPage.xaml.g.cs", "C#", 0, 13, 0, 0, 9, 7, 29
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Debug\netstandard2.0\Views\User\RegisterPage.xaml.g.cs", "C#", 0, 10, 0, 0, 9, 6, 25
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Diabeticare.csproj.nuget.dgspec.json", "JSON", 0, 0, 101, 0, 0, 0, 101
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Diabeticare.csproj.nuget.g.props", "XML", 18, 0, 0, 0, 0, 0, 18
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\Diabeticare.csproj.nuget.g.targets", "XML", 7, 0, 0, 0, 0, 0, 7
"c:\Users\Sondre\Documents\UIT\INF-3780\frontend\diabeticare\Diabeticare\Diabeticare\Diabeticare\obj\project.assets.json", "JSON", 0, 0, 3566, 0, 0, 0, 3566
"Total", "-", 1336, 2743, 4593, 3, 739, 853, 10267
